Unnamed: 0.1,Unnamed: 0,pid,modality,method,embedding_size,accuracy,train_type
31.0,31.0,22,visual,contrastive+autoencoder,128,0.9875,
32.0,32.0,34,visual,contrastive+autoencoder,128,0.9875,
33.0,33.0,4,visual,contrastive+autoencoder,128,1.0,
34.0,34.0,1,visual,contrastive+autoencoder,128,0.975,
35.0,35.0,40,visual,contrastive+autoencoder,128,1.0,
36.0,36.0,10,visual,contrastive+autoencoder,128,0.95,
37.0,37.0,7,visual,contrastive+autoencoder,128,0.975,
38.0,38.0,13,visual,contrastive+autoencoder,128,0.9625,
39.0,39.0,19,visual,contrastive+autoencoder,128,0.9875,
40.0,40.0,28,visual,contrastive+autoencoder,128,0.9375,
41.0,41.0,20,auditory,autoencoder,128,0.6583333373069763,
42.0,42.0,11,auditory,autoencoder,128,0.6125,
43.0,43.0,2,auditory,autoencoder,128,0.5625,
44.0,44.0,8,auditory,autoencoder,128,0.5541666626930237,
45.0,45.0,5,auditory,autoencoder,128,0.6458333373069763,
46.0,46.0,35,auditory,autoencoder,128,0.8291666626930236,
47.0,47.0,17,auditory,autoencoder,128,0.875,
48.0,48.0,26,auditory,autoencoder,128,0.8875,
49.0,49.0,23,auditory,autoencoder,128,0.8375,
50.0,50.0,14,auditory,autoencoder,128,0.7041666626930236,
51.0,51.0,38,auditory,autoencoder,128,0.7083333373069763,
52.0,52.0,32,auditory,autoencoder,128,0.6208333373069763,
53.0,53.0,29,auditory,autoencoder,128,0.8375,
67.0,67.0,20,auditory,contrastive,128,0.9375,
68.0,68.0,11,auditory,contrastive,128,0.7916666626930237,
69.0,69.0,2,auditory,contrastive,128,0.95,
70.0,70.0,8,auditory,contrastive,128,0.975,
71.0,71.0,5,auditory,contrastive,128,0.9,
72.0,72.0,35,auditory,contrastive,128,0.9375,
73.0,73.0,17,auditory,contrastive,128,0.95,
74.0,74.0,26,auditory,contrastive,128,0.8875,
75.0,75.0,23,auditory,contrastive,128,0.9625,
76.0,76.0,14,auditory,contrastive,128,0.7916666626930237,
77.0,77.0,38,auditory,contrastive,128,0.8625,
78.0,78.0,32,auditory,contrastive,128,0.7166666626930237,
79.0,79.0,29,auditory,contrastive,128,0.8625,
119.0,119.0,37,visual,contrastive,128,0.9625,
120.0,120.0,31,visual,contrastive,128,0.975,
121.0,121.0,25,visual,contrastive,128,0.9125,
122.0,122.0,16,visual,contrastive,128,0.975,
123.0,123.0,22,visual,contrastive,128,1.0,
124.0,124.0,34,visual,contrastive,128,0.925,
125.0,125.0,4,visual,contrastive,128,0.95,
126.0,126.0,1,visual,contrastive,128,0.9625,
127.0,127.0,40,visual,contrastive,128,0.95,
128.0,128.0,10,visual,contrastive,128,0.9125,
129.0,129.0,7,visual,contrastive,128,0.9625,
130.0,130.0,13,visual,contrastive,128,0.95,
131.0,131.0,19,visual,contrastive,128,1.0,
132.0,132.0,28,visual,contrastive,128,0.9375,
133.0,133.0,20,auditory,random,128,0.6958333373069763,
134.0,134.0,11,auditory,random,128,0.775,
135.0,135.0,2,auditory,random,128,0.7041666626930236,
136.0,136.0,8,auditory,random,128,0.7541666626930237,
137.0,137.0,5,auditory,random,128,0.725,
138.0,138.0,35,auditory,random,128,0.7166666626930237,
139.0,139.0,17,auditory,random,128,0.7625,
140.0,140.0,26,auditory,random,128,0.7041666626930236,
141.0,141.0,23,auditory,random,128,0.6125,
142.0,142.0,14,auditory,random,128,0.7291666626930237,
143.0,143.0,38,auditory,random,128,0.7166666626930237,
144.0,144.0,32,auditory,random,128,0.7166666626930237,
145.0,145.0,29,auditory,random,128,0.7416666626930237,
146.0,146.0,37,visual,autoencoder,128,0.925,
147.0,147.0,31,visual,autoencoder,128,0.9125,
148.0,148.0,25,visual,autoencoder,128,0.825,
149.0,149.0,16,visual,autoencoder,128,0.8666666626930237,
150.0,150.0,22,visual,autoencoder,128,0.9375,
151.0,151.0,34,visual,autoencoder,128,0.825,
152.0,152.0,4,visual,autoencoder,128,0.9375,
153.0,153.0,1,visual,autoencoder,128,0.9625,
154.0,154.0,40,visual,autoencoder,128,0.9625,
155.0,155.0,10,visual,autoencoder,128,0.925,
156.0,156.0,7,visual,autoencoder,128,0.925,
